Method Name,Time Used,Path Length
RRT Connect,0.22642767429351807,698.3475971281865
Extended RRT,0.7627886295318603,778.1813378447655
Anytime Repairing A*,1.1468403339385986,783.6021638285566
RRT,1.3100831031799316,782.4078696454983
Dijkstra,2.415621280670166,684.4335495461296
A*,2.958639621734619,684.43354954613
Bidirectional A*,3.8662939071655273,684.4335495461302
Real-time Adaptive A*,4.057949542999268,4165.712262545295
Breadth First,6.0189900398254395,684.4335495461299
