Method Name,Time Used,Path Length
RRT Connect,0.27707486152648925,706.1946972518169
Extended RRT,0.8454181671142578,758.3771583596578
Anytime Repairing A*,1.1003000736236572,783.6021638285566
RRT,1.3989673852920532,792.8234556508678
Dijkstra,2.712474822998047,684.4335495461296
A*,3.052525520324707,684.43354954613
Bidirectional A*,3.7312464714050293,684.4335495461302
Real-time Adaptive A*,4.1052703857421875,4165.712262545295
Breadth First,6.608918190002441,684.4335495461299
